Faculty_name,Abbrev
Faculty of Behavioral and Movement Sciences,FGB
Faculty of Behavioural and Movement Sciences,FGB
Faculty of Behavior and Movement Sciences,FGB
Faculty of Behaviour and Movement Sciences,FGB
Faculty of Behavioural and Movements Sciences,FGB
Faculteit der Gedrags- en Bewegingswetenschappen,FGB
behavioral and movement sciences,FGB
Faculteit Bewegingswetenschappen,FGB
Behavioural and Movement Sciences,FGB
Faculty of Sports and Movement Science,FGB
Faculty of Behavioural and Movement Science,FGB
Faculty of Movement and Behavioral Sciences,FGB
FGB,FGB
Faculty of Science,BETA
Faculty of Sciences,BETA
B&egraveta faculty,BETA
Faculty of B&egraveta Science,BETA
Computer Science,BETA
B&egravetascience,BETA
BETA,BETA
B&egraveta,BETA
Life Sciences,BETA
Faculteit der Betawetenschappen,BETA
School of Business and Economics,SBE
Business and Economics,SBE
Faculteit Business   Economie,SBE
FEWEB,SBE
SBE,SBE
Faculty of Law,RCH
Faculteit der Rechtsgeleerdheid,RCH
Faculteit Religie en Theologie,FRT
Faculty of Religion and Theology,FRT
Faculteit der Geesteswetenschappen,HUM
Faculty of Humanities,HUM
FGW,HUM
Academic Centre for Dentistry Amsterdam,ACTA
Academisch Centrum Tandheelkunde Amsterdam,ACTA
ACTA,ACTA
Faculty of Medicine,GNK
Faculteit der Geneeskunde,GNK
Amsterdam UMC,GNK
Faculty of Social Sciences,FSW
Faculty of Social Science,FSW
Faculteit der Sociale Wetenschappen,FSW
Sociale Wetenschappen,FSW
Athena Institute,Athena
Athena Institue,Athena
Athena Instituut,Athena
